Experiment -> WED
Endowment  ->   0.00
Chance to play computer ->   0.10%
(Left = 0 ; Right = 1)
Round    Subj   Part    Subj Choice  Part Choice    Pay off   Tot Earn
  39     10      2          1            1             0.04       1.60
  39     11      9          1            1             0.04       2.03
  39     12      3          0            0             0.07       2.10
  40      1      5          1            1             0.04       1.88
  40      2     10          1            1             0.04       2.00
  40      3     12          1            0             0.12       2.42
  40      4      7          1            1             0.04       1.97
  40      5      1          1            1             0.04       2.18
  40      6      8          1            1             0.04       2.11
  40      7      4          1            1             0.04       2.24
  40      8      6          1            1             0.04       1.93
  40      9     11          1            1             0.04       1.84
  40     10      2          1            1             0.04       1.64
  40     11      9          1            1             0.04       2.07
  40     12      3          0            1             0.00       2.10
  41      1      3          1            0             0.12       2.00
  41      2      7          1            1             0.04       2.04
  41      3      1          0            1             0.00       2.42
  41      4     11          0            1             0.00       1.97
  41      5     10          0            1             0.00       2.18
  41      6     12          0            0             0.07       2.18
  41      7      2          1            1             0.04       2.28
  41      8      9          1            1             0.04       1.97
  41      9      8          1            1             0.04       1.88
  41     10      5          1            0             0.12       1.76
  41     11      4          1            0             0.12       2.19
  41     12      6          0            0             0.07       2.17
  42      1      3          0            0             0.07       2.07
  42      2      7          1            1             0.04       2.08
  42      3      1          0            0             0.07       2.49
  42      4     11          0            1             0.00       1.97
  42      5     10          0            1             0.00       2.18
  42      6     12          0            0             0.07       2.25
  42      7      2          1            1             0.04       2.32
  42      8      9          0            1             0.00       1.97
  42      9      8          1            0             0.12       2.00
  42     10      5          1            0             0.12       1.88
  42     11      4          1            0             0.12       2.31
  42     12      6          0            0             0.07       2.24
  43      1      3          0            0             0.07       2.14
  43      2      7          1            1             0.04       2.12
  43      3      1          0            0             0.07       2.56
  43      4     11          0            0             0.07       2.04
  43      5     10          1            1             0.04       2.22
  43      6     12          0            0             0.07       2.32
  43      7      2          1            1             0.04       2.36
  43      8      9          0            1             0.00       1.97
  43      9      8          1            0             0.12       2.12
  43     10      5          1            1             0.04       1.92
  43     11      4          0            0             0.07       2.38
  43     12      6          0            0             0.07       2.31
  44      1      3          0            0             0.07       2.21
  44      2      7          1            1             0.04       2.16
  44      3      1          0            0             0.07       2.63
  44      4     11          0            0             0.07       2.11
  44      5     10          1            1             0.04       2.26
  44      6     12          0            0             0.07       2.39
  44      7      2          1            1             0.04       2.40
  44      8      9          1            1             0.04       2.01
  44      9      8          1            1             0.04       2.16
  44     10      5          1            1             0.04       1.96
  44     11      4          0            0             0.07       2.45
  44     12      6          0            0             0.07       2.38
  45      1      3          0            0             0.07       2.28
  45      2      7          1            1             0.04       2.20
  45      3      1          0            0             0.07       2.70
  45      4     11          0            1             0.00       2.11
  45      5     10          0            1             0.00       2.26
  45      6     12          0            0             0.07       2.46
  45      7      2          1            1             0.04       2.44
  45      8      9          1            1             0.04       2.05
  45      9      8          1            1             0.04       2.20
  45     10      5          1            0             0.12       2.08
  45     11      4          1            0             0.12       2.57
  45     12      6          0            0             0.07       2.45
  46      1      3          0            0             0.07       2.35
  46      2      7          1            1             0.04       2.24
  46      3      1          0            0             0.07       2.77
  46      4     11          1            1             0.04       2.15
  46      5     10          1            1             0.04       2.30
  46      6     12          0            0             0.07       2.53
  46      7      2          1            1             0.04       2.48
  46      8      9          1            1             0.04       2.09
  46      9      8          1            1             0.04       2.24
  46     10      5          1            1             0.04       2.12
  46     11      4          1            1             0.04       2.61
  46     12      6          0            0             0.07       2.52
  47      1      3          0            0             0.07       2.42
  47      2      7          1            1             0.04       2.28
  47      3      1          0            0             0.07       2.84
  47      4     11          1            1             0.04       2.19
  47      5     10          1            1             0.04       2.34
  47      6     12          0            0             0.07       2.60
  47      7      2          1            1             0.04       2.52
  47      8      9          1            1             0.04       2.13
  47      9      8          1            1             0.04       2.28
